"","ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Species","Dex","Dex.off","d2H.irms","d18O.irms","p.diff.h","p.diff.o"
"11","SJER5-A-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-A-2","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Pinus sabiniana Douglas ex Douglas",-57.9846916196,-1.5129912746,NA,0.455597579427938,0.085745736351033,NA,"SPATIAL",384,"SJER5","Pinus sabiniana",-45.8807614228,34.9064598976,-63,-5.8,-5.0153083804,-4.2870087254
"12","SJER5-A-3","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-A-3","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Pinus sabiniana Douglas ex Douglas",-62.5820434699,-2.0110965411,NA,0.401203473503527,0.0661796402674425,NA,"SPATIAL",384,"SJER5","Pinus sabiniana",-46.4932711411,34.2939501793,-64,-6.9,-1.4179565301,-4.8889034589
"13","SJER5-B-3","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-B-3","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus douglasii Hook. & Arn.",-62.7455435963,-0.0010085446,NA,0.425888573533298,0.0857985340125024,NA,"SPATIAL",384,"SJER5","Quercus douglasii",-62.7374752395,18.0497460809,-73,-6.9,-10.2544564037,-6.8989914554
"14","SJER5-B-4","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-B-4","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus wislizeni A. DC.",-57.8412798764,-1.7098504748,NA,0.375972902049452,0.0644314568226839,NA,"SPATIAL",384,"SJER5","Quercus wislizeni",-44.162476078,36.6247452424,-58,-2.9,-0.158720123599998,-1.1901495252
"15","SJER5-C-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-C-2","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus wislizeni A. DC.",-45.0977978499,1.6858430772,NA,0.411149468186199,0.0895529038014631,NA,"SPATIAL",384,"SJER5","Quercus wislizeni",-58.5845424675,22.2026788529,-44,1.2,1.0977978499,-0.4858430772
"16","SJER5-C-4","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"23-080_SJER5-C-4","Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Bromus hordaceus",-56.8555927836,-0.5283882702,NA,0.384834131705325,0.0674706568032441,NA,"SPATIAL",384,"SJER5","Bromus hordaceus",-52.628486622,28.1587346984,-66,-5.3,-9.1444072164,-4.7716117298
"17","TALL6-B-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-B-4","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Quercus falcata (alt.)",-30.0826769416,-2.3847703394,NA,0.460774213554122,0.0627290125471415,NA,"SPATIAL",384,"TALL6","Quercus falcata",-11.0045142264,-8.1968250516,-28,-4.7,2.0826769416,-2.3152296606
"18","TALL6-B-5","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-B-5","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Quercus falcata (alt.)",-30.0342712263,-2.2586076502,NA,0.430058433171825,0.0630511580474436,NA,"SPATIAL",384,"TALL6","Quercus falcata",-11.9654100247,-9.1577208499,-28,-3.4,2.0342712263,-1.1413923498
"19","TALL6-C-1","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-C-1","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Vaccinium arboreum",-32.2089646099,-3.339664732,NA,0.429541760066499,0.0582788942106285,NA,"SPATIAL",384,"TALL6","Vaccinium arboreum",-5.4916467539,-2.6839575791,-33,-4.1,-0.791035390099999,-0.760335268
"20","TALL6-C-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-C-4","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Vaccinium arboreum",-33.5388420894,-4.1408996752,NA,0.421132678388546,0.0543775743132247,NA,"SPATIAL",384,"TALL6","Vaccinium arboreum",-0.411644687799999,2.396044487,-35,-4.6,-1.4611579106,-0.4591003248
"21","TALL6-D-2","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-D-2","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Liquidambar styraciflua (alt.)",-28.9131067048,-3.3018089203,NA,0.48096383182978,0.0661935405554878,NA,"SPATIAL",384,"TALL6","Liquidambar styraciflua",-2.4986353424,0.3090538324,-35,-3.7,-6.0868932952,-0.3981910797
"22","TALL6-D-3","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"23-081_TALL6-D-3","Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Liquidambar styraciflua (alt.)",-29.0055602263,-3.0806164522,NA,0.441804371301511,0.0613296454441923,NA,"SPATIAL",384,"TALL6","Liquidambar styraciflua",-4.3606286087,-1.5529394339,-26,-3.7,3.0055602263,-0.6193835478
"23","UNDE4-A-2","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-A-2","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer saccharum",-67.6776132529,-5.7245589231,NA,0.390605785404929,0.0467786755276484,NA,"SPATIAL",384,"UNDE4","Acer saccharum",-21.8811418681,-5.3638103579,-65,-7.7,2.6776132529,-1.9754410769
"24","UNDE4-A-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-A-4","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer saccharum",-75.071115528,-5.8389832698,NA,0.396280516087122,0.0494664525797362,NA,"SPATIAL",384,"UNDE4","Acer saccharum",-28.3592493696,-11.8419178594,-72,-9.5,3.07111552800001,-3.6610167302
"25","UNDE4-B-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-B-4","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer rubrum",-71.0601304346,-6.069014496,NA,0.395594072655438,0.0494831301260924,NA,"SPATIAL",384,"UNDE4","Acer rubrum",-22.5080144666,-5.99068295639999,-63,-7.2,8.0601304346,-1.130985504
"26","UNDE4-B-5","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-B-5","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer rubrum",-85.6439808282,-10.0692228787,NA,0.410172246541836,0.04501555351612,NA,"SPATIAL",384,"UNDE4","Acer rubrum",-5.0901977986,11.4271337116,-84,-10.9,1.6439808282,-0.830777121300001
"27","UNDE4-C-3","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-C-3","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Betula papyrifera",-77.728393462,-9.3027594095,NA,0.441153248751411,0.0453060352319384,NA,"SPATIAL",384,"UNDE4","Betula papyrifera",-3.306318186,13.2110133242,-79,-10.2,-1.271606538,-0.897240590499999
"28","UNDE4-C-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-C-4","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Betula papyrifera",-66.0028477055,-4.7055459223,NA,0.381348339704891,0.0503317166054693,NA,"SPATIAL",384,"UNDE4","Betula papyrifera",-28.3584803271,-11.8411488169,-66,-5.6,0.00284770550000246,-0.8944540777
"29","UNDE4-D-3","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-D-3","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-68.4176642666,-6.2290035895,NA,0.400213617918411,0.0518828935696704,NA,"SPATIAL",384,"UNDE4","Picea mariana",-18.5856355506,-2.06830404039999,-67,-7.5,1.4176642666,-1.2709964105
"30","UNDE4-D-5","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"22-304_UNDE4-D-5","Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-80.536227703,-9.0893282463,NA,0.395863085225175,0.0432085640398802,NA,"SPATIAL",384,"UNDE4","Picea mariana",-7.8216017326,8.6957297776,-86,-10.7,-5.46377229700001,-1.6106717537
"31","WOOD6-A-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"23-082_WOOD6-A-4","Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Poa pratensis",-63.2341220148,-6.7436773309,NA,0.411090995185792,0.0456982236887917,NA,"SPATIAL",384,"WOOD6","Poa pratensis",-9.2847033676,8.7052611999,-62,-7.1,1.2341220148,-0.3563226691
"32","WOOD6-B-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"23-082_WOOD6-B-2","Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Medicago sativa",-79.8344021498,-8.5378102264,NA,0.404661635413436,0.0432398950834216,NA,"SPATIAL",384,"WOOD6","Medicago sativa",-11.5319203386,6.4580442289,-78,-9,1.8344021498,-0.4621897736
"33","WOOD6-B-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"23-082_WOOD6-B-5","Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Medicago sativa",-41.3068161111,1.1687349409,NA,0.459291817848041,0.0681486094592995,NA,"SPATIAL",384,"WOOD6","Medicago sativa",-50.6566956383,-32.6667310708,-55,-7.4,-13.6931838889,-8.5687349409
"34","WOOD6-D-1","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"23-082_WOOD6-D-1","Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Artemisia absinthium",-80.6952571112,-8.4848605702,NA,0.399594997312726,0.0442988256590466,NA,"SPATIAL",384,"WOOD6","Artemisia absinthium",-12.8163725496,5.17359201790001,-80,-8.7,0.695257111199993,-0.215139429799999
"35","WOOD6-D-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"23-082_WOOD6-D-4","Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Artemisia absinthium",-70.8800772213,-6.3784854108,NA,0.418141817221122,0.0500319599661667,NA,"SPATIAL",384,"WOOD6","Artemisia absinthium",-19.8521939349,-1.8622293674,-71,-9,-0.119922778700001,-2.6215145892
