"Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Species","Depth"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-3040-3","Soil","",NA,"2020-08-17",6,NA,0.35,"no depth info given",-144.8053440559,-16.6183609427,NA,0.102691607401979,0.0162109932452896,NA,"SPATIAL",384,"NIWO1",NA,"20-40 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-deep-3","Soil","",NA,"2020-08-17",6,NA,0.43,"0.40-0.46",-147.4396949481,-17.6691788792,NA,0.543947701915316,0.0183827268795901,NA,"SPATIAL",384,"NIWO1",NA,"40+ cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-010-1","Soil","",NA,"2020-08-13",5,NA,0.05,"no depth info given, taken at SCBI_062",-34.2870435145,-4.697704526,NA,0.08495265063924,0.0205423398344304,NA,"SPATIAL",384,"SCBI1",NA,"0-10 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-010-2","Soil","",NA,"2020-08-13",5,NA,0.05,"no depth info given, taken at SCBI_064",-38.5311023899,-5.6477936085,NA,0.034994112946403,0.0349078951656496,NA,"SPATIAL",384,"SCBI1",NA,"0-10 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-010-3","Soil","",NA,"2020-08-13",5,NA,0.05,"no depth info given, taken at SCBI_058",-40.3339333127,-5.9225819581,NA,0.0902845191354712,0.0181241373452965,NA,"SPATIAL",384,"SCBI1",NA,"0-10 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-1020-1","Soil","",NA,"2020-08-13",5,NA,0.15,"no depth info given, taken at SCBI_062",-33.2711854191,-4.4880308994,NA,0.299306459252519,0.0282702939960155,NA,"SPATIAL",384,"SCBI1",NA,"10-20 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-1020-2","Soil","",NA,"2020-08-13",5,NA,0.15,"no depth info given, taken at SCBI_064",-44.3332286569,-6.3019590946,NA,0.431959954122175,0.0666338537849935,NA,"SPATIAL",384,"SCBI1",NA,"10-20 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-1020-3","Soil","",NA,"2020-08-13",5,NA,0.15,"no depth info given, taken at SCBI_058",-38.2559727449,-5.8625182329,NA,0.0829528955482963,0.00719867606092701,NA,"SPATIAL",384,"SCBI1",NA,"10-20 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-2030-1","Soil","",NA,"2020-08-13",5,NA,0.25,"no depth info given, taken at SCBI_062",-28.0758930963,-1.6903198965,NA,0.174023849170498,0.0323775990116304,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-2030-2","Soil","",NA,"2020-08-13",5,NA,0.25,"no depth info given, taken at SCBI_064",-33.8345884292,-5.1596124563,NA,0.0541818538081986,0.0157420334790158,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-2030-3","Soil","",NA,"2020-08-13",5,NA,0.25,"no depth info given, taken at SCBI_058",-36.8246964598,-4.0671452652,NA,0.293211371520116,0.0259183254439279,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-3040-1","Soil","",NA,"2020-08-13",5,NA,0.35,"no depth info given, taken at SCBI_062",-37.9997864712,-4.5334692829,NA,0.149908242917191,0.0248871414232976,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-3040-2","Soil","",NA,"2020-08-13",5,NA,0.35,"no depth info given, taken at SCBI_064",-39.8728203753,-5.5899347644,NA,0.393992700067148,0.0212685765550001,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-3040-3","Soil","",NA,"2020-08-13",5,NA,0.35,"no depth info given, taken at SCBI_058",-41.1643334973,-5.5184143121,NA,0.108326448170558,0.0318755206006523,NA,"SPATIAL",384,"SCBI1",NA,"20-40 cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-deep-1","Soil","",NA,"2020-08-13",5,NA,0.45,"deepest, taken at SCBI_062",-45.1507410868,-5.5394361245,NA,0.325134153063823,0.0206847714291281,NA,"SPATIAL",384,"SCBI1",NA,"40+ cm"
"SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"20-196_SCBI1-deep-3","Soil","",NA,"2020-08-13",5,NA,0.45,"no depth info given; not listed on field sheet",-48.0917003998,-5.6487187846,NA,0.0921248750257038,0.00884594562119486,NA,"SPATIAL",384,"SCBI1",NA,"40+ cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-010-1","Soil","",NA,"2020-08-27",6,NA,0.05,"no depth info given",-38.563041656,-5.1546891606,NA,0.0968701575578201,0.0337125484034608,NA,"SPATIAL",384,"UNDE1",NA,"0-10 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-010-2","Soil","",NA,"2020-08-27",6,NA,0.05,"no depth info given",-38.4797648064,-5.4268476631,NA,0.0653421059950618,0.0409779752525755,NA,"SPATIAL",384,"UNDE1",NA,"0-10 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-010-3","Soil","",NA,"2020-08-27",6,NA,0.05,"no depth info given",-34.8739942185,-4.5244954411,NA,0.131673503133574,0.021642626445846,NA,"SPATIAL",384,"UNDE1",NA,"0-10 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-1020-1","Soil","",NA,"2020-08-27",6,NA,0.15,"no depth info given",-42.9300487917,-5.7744323188,NA,0.20384212785883,0.00591417353072542,NA,"SPATIAL",384,"UNDE1",NA,"10-20 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-1020-2","Soil","",NA,"2020-08-27",6,NA,0.15,"no depth info given",-45.3367324763,-6.1936883456,NA,0.140373281173317,0.0354415800611703,NA,"SPATIAL",384,"UNDE1",NA,"10-20 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-1020-3","Soil","",NA,"2020-08-27",6,NA,0.15,"no depth info given",-36.3544606349,-5.6308294149,NA,0.309049420814204,0.013921413432014,NA,"SPATIAL",384,"UNDE1",NA,"10-20 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-2030-1","Soil","",NA,"2020-08-27",6,NA,0.25,"no depth info given",-86.5216485749,-6.5379990745,NA,0.263012622359839,0.0466070282497322,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-2030-2","Soil","",NA,"2020-08-27",6,NA,0.25,"no depth info given",-54.8361895845,-7.4809996907,NA,0.11972220663041,0.0156660467236105,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-2030-3","Soil","",NA,"2020-08-27",6,NA,0.25,"no depth info given",-42.8208033435,-6.2145522398,NA,0.402638902867706,0.00491680792199149,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-3040-1","Soil","",NA,"2020-08-27",6,NA,0.35,"no depth info given",-43.228655214,-6.196865493,NA,0.135016343457253,0.0365112899834256,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-3040-2","Soil","",NA,"2020-08-27",6,NA,0.35,"no depth info given",-83.5298574654,-11.2835204282,NA,0.0653826996348613,0.0143372559375627,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-3040-3","Soil","",NA,"2020-08-27",6,NA,0.35,"no depth info given",-43.8596988762,-6.1932797399,NA,0.410179394132766,0.0657709816232978,NA,"SPATIAL",384,"UNDE1",NA,"20-40 cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-deep-1","Soil","",NA,"2020-08-27",6,NA,0.5,"",-42.5761630524,-5.2360761918,NA,0.125260754140466,0.0107013343125954,NA,"SPATIAL",384,"UNDE1",NA,"40+ cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-deep-2","Soil","",NA,"2020-08-27",6,NA,0.5,"no depth info given",-69.492954814,-9.0969916102,NA,0.127976205035055,0.0438838366679902,NA,"SPATIAL",384,"UNDE1",NA,"40+ cm"
"UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"20-196_UNDE1-deep-3","Soil","",NA,"2020-08-27",6,NA,0.5,"",-43.6399865548,-5.9954087269,NA,0.177226735345374,0.0176861426983842,NA,"SPATIAL",384,"UNDE1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-010-1","Soil","",NA,"2020-08-19",6,NA,0.05,"no depth info given",-62.2172026854,-2.8878668874,NA,0.162907495290579,0.0172067097124808,NA,"SPATIAL",384,"WOOD1",NA,"0-10 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-010-2","Soil","",NA,"2020-08-19",6,NA,0.05,"no depth info given",-70.3913198388,-6.9512161629,NA,0.117991543196968,0.058028275366494,NA,"SPATIAL",384,"WOOD1",NA,"0-10 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-010-3","Soil","",NA,"2020-08-19",6,NA,0.05,"no depth info given",-76.5150030275,-7.5859027755,NA,0.133425698998689,0.0142388031283396,NA,"SPATIAL",384,"WOOD1",NA,"0-10 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-1020-1","Soil","",NA,"2020-08-19",6,NA,0.15,"no depth info given",-72.594210793,-7.9492614666,NA,0.0726910888749212,0.0264938582876311,NA,"SPATIAL",384,"WOOD1",NA,"10-20 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-1020-2","Soil","",NA,"2020-08-19",6,NA,0.15,"no depth info given",-76.9710813965,-9.3932875897,NA,0.0102996093843712,0.0242247848308232,NA,"SPATIAL",384,"WOOD1",NA,"10-20 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-1020-3","Soil","",NA,"2020-08-19",6,NA,0.15,"no depth info given",-87.3235031837,-10.265614915,NA,0.152988432584888,0.0244245533896946,NA,"SPATIAL",384,"WOOD1",NA,"10-20 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-2030-1","Soil","",NA,"2020-08-19",6,NA,0.25,"no depth info given",-73.0025817927,-8.6356016704,NA,0.177294528067701,0.0109580404155215,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-2030-2","Soil","",NA,"2020-08-19",6,NA,0.25,"no depth info given",-78.9329747182,-10.0639932456,NA,0.0951172862728536,0.0214067806004093,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-2030-3","Soil","",NA,"2020-08-19",6,NA,0.25,"no depth info given",-99.0780637568,-12.2214591115,NA,0.075250820157228,0.00875201939191778,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-3040-1","Soil","",NA,"2020-08-19",6,NA,0.35,"no depth info given",-78.886029091,-10.1137251933,NA,0.0821956203982413,0.00166704563938785,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-3040-2","Soil","",NA,"2020-08-19",6,NA,0.35,"no depth info given",-82.1017216096,-10.8663366566,NA,0.107571124851481,0.0206868847706372,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-3040-3","Soil","",NA,"2020-08-19",6,NA,0.35,"no depth info given",-103.9107636484,-13.177762,NA,0.159241863651198,0.0201384440240672,NA,"SPATIAL",384,"WOOD1",NA,"20-40 cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-5060-3","Soil","",NA,"2020-08-19",6,NA,0.55,"no depth info given; sample not listed on field sheet",-94.8902928265,-12.6270422183,NA,0.144793633135607,0.0337959164347108,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-6070-1","Soil","",NA,"2020-08-19",6,NA,0.65,"no depth info given; sample not listed on field sheet",-73.8477128799,-9.7409717062,NA,0.117224025057459,0.00890229225102619,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-6070-2","Soil","",NA,"2020-08-19",6,NA,0.65,"no depth info given; sample not listed on field sheet",-74.7538103725,-10.7113954229,NA,0.0341379251330256,0.011605706850449,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-deep-1","Soil","",NA,"2020-08-19",6,NA,0.95,"",-69.6843369509,-10.0895686782,NA,0.0896325024435754,0.0281696532127281,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-deep-2","Soil","",NA,"2020-08-19",6,NA,0.85,"",-76.0098090163,-10.5636307687,NA,0.114519745073241,0.0184404299805286,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"20-196_WOOD1-deep-3","Soil","",NA,"2020-08-19",6,NA,0.65,"",-86.5987468137,-11.6535726335,NA,0.0490760848683143,0.0359853925609862,NA,"SPATIAL",384,"WOOD1",NA,"40+ cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-010-1","Soil","",NA,"2020-09-03",6,NA,0.05,"no depth info given",-79.3955935174,-1.7445621264,NA,0.0208539036230942,0.0365652036703827,NA,"SPATIAL",384,"CPER2",NA,"0-10 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-010-2","Soil","",NA,"2020-09-03",6,NA,0.05,"no depth info given",-82.1661794161,-2.5917021026,NA,0.144855569007767,0.021230363712268,NA,"SPATIAL",384,"CPER2",NA,"0-10 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-010-3","Soil","",NA,"2020-09-03",6,NA,0.05,"no depth info given",-75.2004358096,-0.6441827085,NA,0.0077114088250409,0.0150115800162428,NA,"SPATIAL",384,"CPER2",NA,"0-10 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-1020-1","Soil","",NA,"2020-09-03",6,NA,0.15,"no depth info given",-95.2428630487,-8.0458984397,NA,0.122467309994743,0.029729431598342,NA,"SPATIAL",384,"CPER2",NA,"10-20 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-1020-2","Soil","",NA,"2020-09-03",6,NA,0.15,"no depth info given",-81.4911495733,-2.4077344354,NA,0.0639088311384022,0.0183589556153291,NA,"SPATIAL",384,"CPER2",NA,"10-20 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-1020-3","Soil","",NA,"2020-09-03",6,NA,0.15,"no depth info given",-70.6757449602,0.4881939786,NA,0.120962796169534,0.0215490823397635,NA,"SPATIAL",384,"CPER2",NA,"10-20 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-2030-1","Soil","",NA,"2020-09-03",6,NA,0.25,"no depth info given",-81.3849440249,-3.0118935606,NA,0.120798366506798,0.0176722229552843,NA,"SPATIAL",384,"CPER2",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-2030-2","Soil","",NA,"2020-09-03",6,NA,0.25,"no depth info given",-92.817943664,-6.7004974711,NA,0.136112011743386,0.0554175713896463,NA,"SPATIAL",384,"CPER2",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-2030-3","Soil","",NA,"2020-09-03",6,NA,0.25,"no depth info given",-84.0277708358,-3.8628825577,NA,0.0642757556451608,0.0492538983678338,NA,"SPATIAL",384,"CPER2",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-3040-1","Soil","",NA,"2020-09-03",6,NA,0.35,"no depth info given",-89.3853485014,-6.1452917109,NA,0.13013176369975,0.0238104050862683,NA,"SPATIAL",384,"CPER2",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-3040-2","Soil","",NA,"2020-09-03",6,NA,0.35,"no depth info given",-78.5339351953,-1.9170299497,NA,0.065370979319738,0.0109051749556056,NA,"SPATIAL",384,"CPER2",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-202_CPER2-deep-2","Soil","",NA,"2020-09-03",6,NA,0.54,"0.40-0.67",-95.4178865811,-9.5456134403,NA,0.0545026702250082,0.0490243027258326,NA,"SPATIAL",384,"CPER2",NA,"40+ cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-010-1","Soil","",NA,"2020-08-26",5,NA,0.05,"",-42.4170839429,-5.0596921465,NA,0.190919017439906,0.0211824548978628,NA,"SPATIAL",384,"HARV1",NA,"0-10 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-010-2","Soil","",NA,"2020-08-26",5,NA,0.05,"",-52.7808458782,-6.6411890565,NA,0.24090546786981,0.0588774298966401,NA,"SPATIAL",384,"HARV1",NA,"0-10 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-010-3","Soil","",NA,"2020-08-26",5,NA,0.05,"",-48.6551204343,-5.7648676526,NA,0.259270002978104,0.0399231468217639,NA,"SPATIAL",384,"HARV1",NA,"0-10 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-1020-1","Soil","",NA,"2020-08-26",5,NA,0.15,"",-67.5097085551,-10.0128240682,NA,0.0763183775006174,0.0223493491568898,NA,"SPATIAL",384,"HARV1",NA,"10-20 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-1020-2","Soil","",NA,"2020-08-26",5,NA,0.15,"",-52.6904928518,-6.5011161664,NA,0.201488327473186,0.0562300163329255,NA,"SPATIAL",384,"HARV1",NA,"10-20 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-1020-3","Soil","",NA,"2020-08-26",5,NA,0.15,"",-56.540639868,-6.9972369894,NA,0.0710550210941952,0.0174640841852946,NA,"SPATIAL",384,"HARV1",NA,"10-20 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-2030-1","Soil","",NA,"2020-08-26",5,NA,0.25,"",-54.8563786613,-7.5059251603,NA,0.0827098589075371,0.0241249462641111,NA,"SPATIAL",384,"HARV1",NA,"20-40 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-2030-2","Soil","",NA,"2020-08-26",5,NA,0.25,"",-62.5978398626,-7.9503633045,NA,0.157112630613893,0.018114998481612,NA,"SPATIAL",384,"HARV1",NA,"20-40 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-2030-3","Soil","",NA,"2020-08-26",5,NA,0.25,"",-54.6168128025,-6.6263059913,NA,0.310995237250657,0.0558095607138851,NA,"SPATIAL",384,"HARV1",NA,"20-40 cm"
"HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"20-203_HARV1-3040-1","Soil","",NA,"2020-08-26",5,NA,0.35,"",-63.3716295948,-8.5590808356,NA,0.137212949774997,0.0283125795204634,NA,"SPATIAL",384,"HARV1",NA,"20-40 cm"
